,CustomerID,CustomerName,BillToCustomerID,CustomerCategoryID,BuyingGroupID,PrimaryContactPersonID,AlternateContactPersonID,PostalCityID,CreditLimit,AccountOpenedDate,PhoneNumber,FaxNumber
0,1,Tailspin Toys (Head Office),1,3,1,1001,1002,19586,0,01/11/2016,(308) 555-0100,(308) 555-0101
1,2,"Tailspin Toys (Sylvanite, MT)",1,3,1,1003,1004,33475,0,01/11/2016,(406) 555-0100,(406) 555-0101
2,3,"Tailspin Toys (Peeples Valley, AZ)",1,3,1,1005,1006,26483,0,01/11/2016,(480) 555-0100,(480) 555-0101
3,4,"Tailspin Toys (Medicine Lodge, KS)",1,3,1,1007,1008,21692,0,01/11/2016,(316) 555-0100,(316) 555-0101
4,5,"Tailspin Toys (Gasport, NY)",1,3,1,1009,1010,12748,0,01/11/2016,(212) 555-0100,(212) 555-0101
5,6,"Tailspin Toys (Jessie, ND)",1,3,1,1011,1012,17054,0,01/11/2016,(701) 555-0100,(701) 555-0101
6,7,"Tailspin Toys (Frankewing, TN)",1,3,1,1013,1014,12152,0,01/11/2016,(423) 555-0100,(423) 555-0101
7,8,"Tailspin Toys (Bow Mar, CO)",1,3,1,1015,1016,3673,0,01/11/2016,(303) 555-0100,(303) 555-0101
8,9,"Tailspin Toys (Netcong, NJ)",1,3,1,1017,1018,23805,0,01/11/2016,(201) 555-0100,(201) 555-0101
9,10,"Tailspin Toys (Wimbledon, ND)",1,3,1,1019,1020,37403,0,01/11/2016,(701) 555-0100,(701) 555-0101
10,11,"Tailspin Toys (Devault, PA)",1,3,1,1021,1022,8987,0,01/11/2016,(215) 555-0100,(215) 555-0101
11,12,"Tailspin Toys (Biscay, MN)",1,3,1,1023,1024,3081,0,01/11/2016,(218) 555-0100,(218) 555-0101
12,13,"Tailspin Toys (Stonefort, IL)",1,3,1,1025,1026,32887,0,01/11/2016,(217) 555-0100,(217) 555-0101
13,14,"Tailspin Toys (Long Meadow, MD)",1,3,1,1027,1028,19908,0,01/11/2016,(240) 555-0100,(240) 555-0101
14,15,"Tailspin Toys (Batson, TX)",1,3,1,1029,1030,2111,0,01/11/2016,(210) 555-0100,(210) 555-0101
